"מספר סעיף","שם סעיף","הסבר","שם המשרד"
240411,"קורסי הכשרה לרופאים ואחיות עולים","קורסים להכנת רופאים ואחיות עולים לבחינות ההסמכה והרישוי בישראל","בריאות"
240418,"המכון לרפואה משפטית","מימון פעילות המכון לרפואה משפטית באבו-כביר. מרבית ההוצאה הינה לשכר עובדי המכון. ","בריאות"
240462,"המופיליה","מימון פעילות היחידה הארצית להמופיליה. מרבית ההוצאה הינה לשכר עובדי היחידה. ","בריאות"
240464,"מידע על הרעלות","מימון פעילות היחידה למידע על הרעלות. מרבית ההוצאה הינה לשכר עובדי היחידה. ","בריאות"
240465,"טיפול בחיידקים עמידים","מימון פעילות היחידה לטיפול בחיידקים עמידים. מרבית ההוצאה הינה לשכר עובדי היחידה. ","בריאות"
240470,"המכון לרעלים תל השומר","מימון פעילות היחידה המכון לרעלים בתל השומר. מרבית ההוצאה הינה לשכר עובדי המכון. ","בריאות"
2407,"מינהל רפואה"," 
בתחום פעולה זה מרוכזת פעילות מינהל הרפואה,  אשר אחראי על הרגולציה הרפואית בקהילה 
ובאשפוז,  ועל מתן שירותים רפואיים לאזרח  בתחומים המנויים בתוספת השלישית לחוק ביטוח 
בריאות ממלכתי.","בריאות"
240707,"מינהל רפואה","פעילויות מטה רגולטוריות של מינהל הרפואה,  הפעלת המרכז הלאומי להשתלות והמחלקה 
להתפתחות הילד וכן מימון שירותי בריאות לילדי עובדים זרים,  לח""כים ולאח""מים ולאוכלוסיות 
נוספות בהתאם לחוק.","בריאות"
240708,"העסקת מתמחים","מימון העסקת מתמחים ברפואה וברוקחות בבתיה""ח הציבוריים.","בריאות"
240710,"האגף לגריאטריה","קנית שירותי אשפוז לחולים סיעודיים ותשושי נפש ממוסדות גריאטריים במסגרת התוספת השלישית 
לחוק ביטוח בריאות ממלכתי;  מימון פרויקטים לקשישים בשיתוף אש""ל;  הכשרת מתמחים 
בגריאטריה וביצוע פרויקטים שונים בתחום הגריאטריה.","בריאות"
240713,"שירותי בריאות הנפש","שיקום ושילוב אנשים עם נכות נפשית בקהילה ושילובם במסגרות דיור,  תעסוקה,  חברה והשכלה, 
במסגרת חוק שיקום נכי נפש בקהילה; טיפול רפואי בנפגעי סמים והתמכרויות ובילדים אוטיסטים 
במסגרת התוספת השלישית לחוק ביטוח בריאות ממלכתי;  מימון מסגרות חלופיות לאשפוז עבור 
מטופלים ששוחררו מאשפוז פסיכיאטרי אך אינם בעלי פוטנציאל השתלבות בקהילה ופרויקטים 
נוספים בתחום בריאות הנפש.","בריאות"
240723,"בריאות השן","מימון טיפול מונע והדרכה בנושא מניעת תחלואת שיניים לתלמידי בתי הספר בשיתוף עם הרשויות 
המקומיות וכן רישוי, פיקוח ובקרה על ספקי השרות השונים בתחום בריאות השן. ","בריאות"
2410,"מרכזים גריאטריים","משרד הבריאות  מפעיל חמישה מרכזים רפואיים גריאטריים, במרכזים אלו קיימות מחלקות לאשפוז 
גריאטרי חריף ותת חריף,  מחלקות שיקום,  מחלקות לסיעוד מורכב ,  מחלקות הנשמה ממושכת 
ומחלקות אשפוז לסיעודיים,  תשושי נפש ותשושים.  המרכזים הרפואיים הגריאטריים מובילים את 
הטיפול והמחקר בתחום הגריאטריה בישראל, מהווים שדה קליני ומוכרים כמקומות התמחות לבוגרי 
לימודי רפואה.","בריאות"
241011,"מרכזים גריאטריים","מרכז גריאטרי ""פלימן"" בחיפה","בריאות"
241021,"מרכזים גריאטריים","מרכז גריאטרי ""שוהם"" בפרדס חנה","בריאות"
241027,"מרכזים גריאטריים","מרכז גריאטרי נתניה","בריאות"
241035,"מרכזים גריאטריים","מרכז גריאטרי ""שמואל הרופא"" בבאר יעקב  ","בריאות"
241036,"מרכזים גריאטריים","מרכז גריאטרי ראשון לציון","בריאות"
2413,"מרכזים רפואיים לבריאות הנפש","משרד הבריאות מפעיל שמונה מרכזים רפואיים לבריאות הנפש ומרכז קהילתי אחד לבריאות הנפש. 
מרכזים אלה מפעילים את החלק הארי של האשפוז הפסיכיאטרי והטיפול המרפאתי בתחום בריאות 
הנפש בישראל. במרכזים אלו קיימות מחלקות לאשפוז פעיל, מחלקות אשפוז פעיל-ממושך, מחלקות 
לילדים ונוער, יחידות לטיפול יום ויחידות לאשפוז יום. כמו כן, תחת ניהול המרכזים מצויות מרפאות 
קהילתיות המספקות שירותי בריאות נפש מרפאתיים לפונים.","בריאות"
241307,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש ""מזרע""","בריאות"
241307,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש טירת הכרמל","בריאות"
241322,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש שער מנשה","בריאות"
241327,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש ""לב השרון""","בריאות"
241341,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש ""אברבנאל""","בריאות"
241344,"מרכזים רפואיים לבריאות הנפש","מרכז קהילתי יפו","בריאות"
241356,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש באר יעקב - נס ציונה","בריאות"
241368,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש כפר שאול - איתנים","בריאות"
241385,"מרכזים רפואיים לבריאות הנפש","המרכז לבריאות הנפש באר שבע","בריאות"
2416,"בריאות הציבור","שירותי בריאות הציבור עוסקים בתחומי הרפואה המונעת האישית, הקהילתית והסביבתית, תוך מתן
דגש על שמירת בריאות הציבור באמצעות חוקים ותקנות, חינוך לבריאות וקידום הבריאות.  שירותי
בריאות הציבור כוללים מטה ומחלקות מקצועיות אשר פועלים לגיבוש מדיניות בריאות הציבור וכן 
שירותים בפריסה ארצית באמצעות לשכות הבריאות המחוזיות והנפתיות, בסיוע המעבדות המרכזיות 
והמחוזיות לבריאות הציבור. הלשכות המרכזיות מפעילות שירות מונע לפרט ברשת התחנות לבריאות
המשפחה )""טיפות חלב""( וכן מבצעות פעילויות פיקוח ובקרה על מזון וסביבה וכן פיקוח על שירותי 
בריאות התלמיד.","בריאות"
241601,"מטה בריאות הציבור","פעילות למניעת מחלות מידבקות באמצעות מימון חיסונים,  הפעלת מערך בדיקות גנטיות לצורך 
צמצום מומים מולדים,  פעילות המחלקה לתזונה ומטה שירות המזון והסביבה וכן מימון תכניות 
לאומיות למניעה ולצמצום תחלואה בקרב אוכלוסיות בסיכון.","בריאות"
241605,"שיקום שכונות","מימון חלקו של משרד הבריאות בפרויקט שקום שכונות","בריאות"
241611,"המכון לבדיקות רפואיות לנהגים","בדיקות רפואיות לנהגים","בריאות"
241621,"מעבדות בריאות הציבור בתל אביב","ביצוע בדיקות מעבדה למזון ובדיקות איכות תברואית של מי שתייה,  אפיון ובידוד מחוללי מחלות 
בקטריאליות וכן פיקוח על מי שתייה, מי מקורות מים, מי נחלים, שפכים וקולחין ומי נופש, באמצעות 
בדיקות בקטריאליות, נגיפיות וכימיות.","בריאות"
241622,"תל השומר - מעבדה מרכזית לנגיפים","ביצוע בדיקות מעבדה למזון ובדיקות איכות תברואית של מי שתייה,  אפיון ובידוד מחוללי מחלות 
בקטריאליות וכן פיקוח על מי שתייה, מי מקורות מים, מי נחלים, שפכים וקולחין ומי נופש, באמצעות 
בדיקות בקטריאליות, נגיפיות וכימיות.","בריאות"
241626,"מעבדות מרכזיות ירושלים","ביצוע בדיקות מעבדה למזון ובדיקות איכות תברואית של מי שתייה,  אפיון ובידוד מחוללי מחלות 
בקטריאליות וכן פיקוח על מי שתייה, מי מקורות מים, מי נחלים, שפכים וקולחין ומי נופש, באמצעות 
בדיקות בקטריאליות, נגיפיות וכימיות.","בריאות"
241636,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז צפון - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241642,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז חיפה - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241646,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז תל אביב - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241651,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז מרכז - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241656,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז ירושלים - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241661,"לשכות הבריאות המחוזיות","לשכת הבריאות מחוז דרום - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
241666,"לשכות הבריאות המחוזיות","לשכת הבריאות אשקלון - הפעלת שירות מונע לפרט בתחנות טיפות החלב, הפעלת מערכי פיקוח על מזון וסביבה ועל שירותי בריאות התלמיד ופעילות פיקוח ובקרה של לשכות הגריאטר המחוזי והפסיכיאטר המחוזי.","בריאות"
2420,"חוק ביטוח בריאות ממלכתי","על פי חוק ביטוח בריאות ממלכתי, מקורות המימון לסל הבריאות אשר באחריות קופות החולים הם 
גביית דמי ביטוח בריאות באמצעות המוסד לביטוח לאומי והשלמת עלות הסל מתקציב המדינה. ","בריאות"
2021,"יחידות מטה","יחידות מטה","חינוך"
202102,"יחידות מטה","פעולות לשכת הדובר - תקציב המיועד לפעולות לשכת דובר משרד החינוך","חינוך"
202103,"פעולות החשב","פעולות החשב -תקציב המיועד לפעולות לשכת חשב משרד החינוך","חינוך"
202104,"פרסי ישראל","פרסי ישראל  -
התכנית נועדה לממן את תפעול מערך פרסי ישראל ומימון עלות הפרסים. פרסי ישראל מוענקים בתחומי 
המדע, היצירה ומפעל חיים, כאות ציון והערכה לאנשי שם, חוקרי ישראל, מדענים, סופרים ואנשי תרבות 
ואמנות ועל מפעל חיים - תרומה מיוחדת לחברה ולמדינה","חינוך"
202105,"תקשוב ומערכות מידע","תקשוב ומערכות מידע - התקציב מיועד לממן ניהול מערכות בנושאים כגון מצבת המורים במערכת החינוך, הקצאות שעות התקן
במערכת החינוך,  מערכות תשלומים לרשויות ועוד.  בנוסף,  התקציב מיועד לפיתוח מערכות ליחידות 
המשרד השונות. מינהל תקשוב ומערכות מידע מספק שירותי מידע והדרכה להנהלת המשרד, ליחידות 
המשרד ולמערכת החינוך.","חינוך"
202107,"מחקרים וסטטיסטיקה","מחקרים וסטטיסטיקה - תקצוב רכישת שירותים מהלשכה המרכזית לסטטיסטיקה ומימון מחקרים  של המדען הראשי.
תחום כלכלה וסטטיסטיקה מספק מידע ונתונים סטטיסטיים,  כלכליים ופדגוגיים לגורמים שונים 
במשרד ומחוצה לו.","חינוך"
202108,"קשרי חוץ","התקציב מיועד למימון חברויות בארגונים בינלאומיים,  כנסים והשתתפויות בועדות,  פורומים וכנסים 
מקצועיים.","חינוך"
202111,"מינהל החינוך הדתי","התקציב מיועד למימון פעולות,  תוכניות ומחקרים של מינהל החינוך הדתי שנועדו,  בין היתר, 
להעמיק את החינוך הציוני-דתי והתורני במוסדות החינוך וכן לשפר  את רמת ההוראה והחינוך 
בממלכתי דתי.","חינוך"
202113,"רזרבה לפעולות שונות","רזרבה המיועדת למימון פעולות שונות בתחום החינוך.","חינוך"
202116,"הרשות הארצית למדידה והערכה  בחינוך (ראמ""ה)","התקציב מיועד למימון פעולות הערכה ומדידה של התוכניות השונות במערכת החינוך,  מימון בוחנים 
ומעריכים למבחנים הבינלאומיים ולמבחני מדדי יעילות וצמיחה בית ספרית )מיצ""ב( וכן מימון פיתוח 
כלי הערכה לתכניות חינוכיות.  ראמ""ה מעמידה ממצאים הנתמכים על ידי נתונים וכלי ניתוח מדעיים 
לרשותם של מקבלי ההחלטות במערכת החינוך,  לרשות חוקרים ובעלי עניין מהאקדמיה ולרשותו של 
כלל הציבור.","חינוך"
2022,"אמרכלות ועובדי משרד ",,"חינוך"
202201,"עובדי משרד","התקציב מיועד למימון שכרם של עובדי מטה משרד החינוך.","חינוך"
202203,"השתלמות והדרכה","התקציב מיועד למימון פעולות השתלמות והדרכה לחיזוק הידע והכישורים המקצועיים של עובדי משרד 
החינוך.","חינוך"
202204,"אחזקת המשרד","התקציב מיועד בעיקרו למימון אחזקת המשרד (ניקיון,  חשמל, מים, שיפוצים וכדומה). חלק גדול 
מתקציב זה הינו תקורות. 
אגף א' נכסים ולוגיסטיקה מופקד על מתן שירותים ליחידות המשרד ולעובדיו בתחומי המינהל, הבינוי, 
נכסים, אחזקה ומשק.","חינוך"
202206,"ביטחון ובטיחות במוסדות חינוך","התקציב מיועד לממן את מאבטחי משרד החינוך במטה,  בפנימיות וכן העברת כסף לרשויות 
המקומיות לצורך מימון קציני בטיחות בבתי הספר.","חינוך"
2023,"מינהל מורים",,"חינוך"
202301,"תנאי שירות","התקציב מיועד למימון השתתפות בפעולות ועד עובדי הוראה, השתתפות בדמי חבר באגודות מקצועיות 
למורים, מימון קרן לקידום מקצועי של עובדי הוראה ומימון קרן רווחה לעובדי הוראה. ","חינוך"
202302,"פעולות מיוחדות למורים","התקציב מיועד בעיקרו למימון פעולות עם מורים שפרשו לגמלאות וכן הוצאות הגנה משפטית לעובדי 
הוראה.","חינוך"
202303,"תמריצים למורים","התקציב מיועד למימון תמריצים למורים שנועדו למשוך כוח אדם איכותי לאזורים או למקצועות בהם 
קיים מחסור במורים. ","חינוך"
202305,"מוסדות להכשרת מורים","התקציב מיועד למימון שכר הוראה במוסדות להכשרת מורים וכן למימון תוכניות מיוחדות להכשרת 
מורים. ","חינוך"
202306,"הלוואות מותנות לתלמידי סמינרים","התקציב מיועד למימון הלוואות מותנות לתלמידי מוסדות להכשרת עובדי הוראה למקצועות ומוסדות 
נדרשים ומועדפים וכן להעלאת רמת הלומדים. סכום ההלוואה המותנית נקבע בתום קליטת כל הבקשות 
להלוואות ובכפיפות למסגרת התקציבית המאושרת.","חינוך"
202401,"תוכניות לקידום החינוך למיעוטים","התקציב נועד לממן תוכניות לקידום החינוך לבני מיעוטים.  קיימים פערים בהישגים של התלמידים 
והבוגרים של מערכת החינוך היהודית לבין התלמידים והבוגרים של מערכת החינוך הערבית, הדרוזית 
והבדואית.  על כן,  הנהלת משרד החינוך קבעה את נושא קידום מערכת החינוך הלא-יהודית בישראל 
כאחד מתחומי העשייה להם מעניק המשרד עדיפות גבוהה. ","חינוך"
202402,"שירותי חינוך ורווחה (שח""ר)","התקציב נועד לממן פעולות שירותי רווחה חינוכיים. 
אגף שח""ר אחראי לקידום תלמידים מאוכלוסיות חלשות באזורי פיתוח ובשכונות מצוקה על ידי תוכניות 
שונות המופעלות מתחום פעולה זה.","חינוך"
202405,"הוראת המקצועות - תוכניות","התקציב מיועד לתכנון ולפיתוח תוכניות לימודים, בכל תחומי הדעת, לכל הגילאים ולכל המגזרים. כמו 
כן,  התקציב מיועד לתקצוב הספרייה הלאומית שמטרתה איסוף,  שימור,  טיפוח והנחלה של אוצרות 
הידע, המורשת והתרבות בעלי זיקה לארץ ישראל, מדינת ישראל והעם היהודי. בנוסף התקציב מיועד 
לתקצוב תאגיד ""יד ושם"", שנוסד ב-1953 על פי חוק על מנת להנציח את זכר השואה והגבורה. יד ושם 
מופקד על הנחלת זיכרון השואה, בין היתר, באמצעות פעילות מחקר, פרסומים וחינוך. ","חינוך"
202408,"שירות פסיכולוגי","התקציב נועד לממן שירות פסיכולוגי ייעוצי )שפ""י( לתלמידים ולצוותי מערכת החינוך.
אגף שפ""י  מעניק שירותים פסיכולוגיים ושירותי ייעוץ חינוכי למוסדות החינוך,  לתלמידים ולהוריהם. 
הפסיכולוגים החינוכיים והיועצים החינוכיים משמשים גופים מקצועיים המספקים שירותי תמיכה וסיוע, 
פרטניים וקבוצתיים, שירותי אבחון, טיפול וייעוץ לתלמידים ולהוריהם, הדרכה והנחייה לצוותי חינוך 
ולהנהלות בתי הספר.","חינוך"
202411,"כוח עזר פדגוגי - תומכי חינוך","התקציב מיועד לתגבור מערכת החינוך ב""מורות חיילות"" וב""מתנדבי שירות לאומי"". המתנדבים מסייעים 
בקליטתם של עולים חדשים, בעזרה לאוכלוסיות מצוקה ולטעוני טיפוח, בסיוע לתלמידי החינוך המיוחד 
ובהדרכה בנושאי מורשת וידיעת הארץ.","חינוך"
202412,"מתנ""סים","התקציב מיועד לתקצוב החברה למתנ""סים המפעילה את מערכת המתנ""סים בישראל. תפיסתה מתבססת 
על עצמאות המתנ""ס הבודד, שהוא גוף משפטי בעל הנהלה ציבורית, תקציב עצמאי, ותוכנית עצמאית. 
המתנ""ס הבודד משיג את מקורותיו הכספיים בהתאם ליכולתו ליצור התקשרויות, ליזום תוכניות ולגבות 
תשלום מן החברים  עבור השירותים. החברה למתנ""סים מפעילה מערכת של הדרכה והערכה למתנ""סים 
הפרוסים ברחבי הארץ.","חינוך"
202414,"חינוך לא פורמאלי","התקציב מיועד למימון פעולות בחינוך הבלתי פורמאלי כגון מימון תנועות נוער ומועצת תנועות הנוער, 
פעילויות עם נוער מנותק ברשויות ועוד.
במסגרת התכנית לקידום הפריפריה נקבע בהחלטת ממשלה מספר 3969 מיום 24 באוגוסט 2008 כי 
המבחנים לתמיכה בתנועות הנוער יתוקנו כך שתינתן עדיפות לתנועות הנוער להן פעילות ביישובי 
הפריפריה.  על פי החלטת הממשלה,  חלוקת התמיכות בעבור פעילות משנת 2010 ואילך מתבצעת 
בהתאם למבחנים המתוקנים. ","חינוך"
202416,"חינוך מבוגרים","התקציב מיועד לממן פעולות חינוך למבוגרים.  האגף לחינוך מבוגרים משתתף תקציבית בהפעלת 
אולפנים, ומפקח במוסדות השכלה יסודית, תיכונית וחוגי השכלה.","חינוך"
2025,"חינוך קדם יסודי","האגף לחינוך קדם-יסודי מופקד על קביעת מדיניות חינוכית-לימודית מותאמת לכ-400,000 ילדים 
בחינוך הרגיל ובכללם ילדים בעלי צרכים מיוחדים,  בגילאי שלוש עד שש,  בכל המגזרים של החינוך 
הרשמי: ממלכתי, ממלכתי-דתי, ערבי, דרוזי ובדואי. האגף אמון על תכנון, פיתוח וקידום היישום של 
תכנים פדגוגיים חינוכיים,  על פיתוח של שרותי חינוך והוראה,  מודלים חינוכיים חדשניים,  יוזמות עדכניות, מבנים ארגוניים שונים ותוכניות לימודים עתידיות","חינוך"
202510,"גני חובה (לגילאי 5)","התקציב מיועד למימון עלויות גן הכוללות מימון שכר גננת ועוזרת גננת על פי התקן המפורט בהמשך.
הוצאות התפעול מוטלות על הרשות המקומית או הבעלות על הגן.
תקן לתקצוב: בישובים נטולי מענק איזון ממשרד הפנים, כל 33 ילדים בגיל חובה מקנים תקן של גננת 
ועוזרת גננת. בישובים מקבלי מענק כל 31 ילדים בגילאי חובה מקנים תקן של גננת ועוזרת גננת.
בגנים משולבים )שילוב הילד החריג(- משרת גננת בגן משולב היא בת 30 שעות שבועיות )ש""ש(, 
המיועדות עבור שילוב הילד החריג. כיתת גן לחינוך מיוחד מונה בין 5 ל-12 ילדים בהתאם לסוג 
האבחון ומקבלת מסגרת של 30 ש""ש.","חינוך"
202511,"גני טרום-חובה","התקציב מיועד למימון השתתפות המדינה בבעלויות על הגנים עבור שכר גננת, שכר עוזרת גננת והוצאות 
שאינן שכר )אחזקה( כאשר אחוז ההשתתפות הינו בהתאם לפירוט שלהלן. אוכלוסיית התלמידים בגילאי 
.3-4 1 . החלת לימוד חובה על גילאי 4-3
בשנה""ל תש""ס הוחל בהפעלת חוק חינוך חובה חינם לגילאי 4-3.  בישובים בהם הוחל החוק, 
השתתפות המשרד החל מ-1.1.04 היא בשיעור %90 מעלות גן.
2 . ביתר הישובים מופעל שכר לימוד מדורג ומימון המשרד הינו %75 מעלות הגן לאחר דרגת ההנחה 
שניתנה להורים כמפורט להלן )בתש""ע כללה מערכת זו כ-97,500 ילדים(.
גובה תשלומי ההורים נקבע ע""י הכנסה ממוצעת לנפש כאשר טבלת ההנחה מחולקת ל-10 דרגות. 
תלמיד בדרגה 1 משלם %10 מעלות ילד בגן ואילו תלמיד בדרגה 10 את מלוא העלות. מימון 
ההפרש בין גובה תשלומי ההורים לעלות המלאה שנקבעה בשכר לימוד מתחלק בין משרד 
החינוך)%75( ובין הרשויות המקומיות )%25(.
4 . חינוך מיוחד בגני טרום-חובה
תלמידים שעברו ועדות השמה לחינוך מיוחד ושובצו בגני-ילדים לחינוך מיוחד פטורים משכר
לימוד.  ","חינוך"
202602,"שירותי חינוך ורווחה (שח""ר)","התקציב נועד לממן פעולות שירותי רווחה חינוכיים כגון תקצוב קציני ביקור סדיר ותקצוב מועדוניות 
אליהן מופנים תלמידים שנמצאו זכאים לכך אחרי שעות הלימודים לקבלת שיעורי עזר וכדומה","חינוך"
202609,"שירותי עזר במערכת החינוך","התקציב נועד לממן הזנת תלמידים בהתאם לחוק ארוחה יומית לתלמיד התשס""ה-2005, מימון שירותי 
עזר הניתנים במוסדות חינוך )כגון שרתים,  מזכירים וכדומה(,  בבתי ספר יסודיים ובחינוך המיוחד, 
המועסקים ע""י הרשויות המקומיות ובעלויות החינוך.  עבור הכיתות של החינוך המיוחד מתוקצבות 
סייעות המסייעות לילדים בפעולות שגרתיות כגון פשיטת בגדים ולבישתם,  פתיחת ילקוטים,  נטילת 
ידיים, הורדה והעלאה לרכב ועוד.
תקצוב שירותי העזר נעשה בהתאם לתקן הבא:
1 . שרתים - בכיתות א-ו לכל 4.44 כיתות - משרת שרת.
שיעור ההשתתפות של משרד החינוך הוא  %87 לתקופה של 12 חודש,  על-פי עלות נורמטיבית 
מוסכמת של משרה בדירוג מנהלי 6616 שנות ותק. סה""כ משרות שרתים )כולל החינוך המיוחד( 
בתש""ע – 5,460 לא כולל בתי ספר בניהול עצמי.
2 . מזכירים - בכיתות א-ו לכל 14 כיתות - משרת מזכיר.
שיעור ההשתתפות של משרד החינוך הוא בעלות מלאה של משרה לתקופה של 12 חודשים, לפי 
עלות נורמטיבית מוסכמת של משרה בדירוג מנהלי 7 6 18 שנות ותק.
סה""כ משרות מזכירים )כולל החינוך המיוחד( בתש""ע – 1,828 לא כולל בתי ספר בניהול עצמי.
3 . סייעות במסגרות החינוך המיוחד - לשנת תש""ע הוקצו 6,388 משרות: 4,639 בעלות של %70 ו-
2,010 בעלות של %100. שיעור ההשתתפות של משרד החינוך הוא %70 או %100 לפי עלות 
נורמטיבית מוסכמת של משרה מלאה בדירוג מנהלי 7611 שנות ותק לתקופה של 12 חודשים.","חינוך"
202611,"תקן השעות בחינוך היסודי","התקציב נועד לממן את השעות המוקצות לחינוך היסודי.","חינוך"
202612,"חינוך מיוחד","התקציב נועד לממן בעיקר שעות לימוד,  שירותים נלווים והסעות תלמידים לחינוך המיוחד כמפורט 
להלן.","חינוך"
202615,"ילדים מחוננים ומצטיינים","התקציב נועד למימון תוכניות לתלמידים מחוננים ומצטיינים וכן לפיתוח צוותי הוראה ולביצוע מחקר","חינוך"
202619,"תוכניות להארכת יום הלימודים","התקציב מיועד למימון חוק יום לימודים ארוך ולימודי העשרה, תשנ""ז- 1997 וכן מתוקצבות פנימיות יום 
הנותנות מענה כולל ארגוני ופדגוגי לילדים בגני הילדים ולתלמידים בבתי הספר באזורי הפריפריה 
הגיאוגרפית והחברתית.","חינוך"
2027,"חינוך על יסודי","האגף לחינוך על-יסודי מופקד על כלל הפעילות החינוכית במסגרות החינוך הבאות:  בתי ספר על-
יסודיים מכיתות ז'  עד י''ב,  חטיבות-ביניים עצמאיות,  חטיבות עליונות עצמאיות ובתי ספר ארבע 
שנתיים, כולל בתי ספר אקסטרנים ומרכזי חינוך.","חינוך"
